"Name","max_train_accuracy","fully_adjacent_last_layer","tree_depth","epoch"
"lemon-sweep-849","0.2925625","false","4","560"
"splendid-sweep-74","0.280625","false","4","694"
"dashing-sweep-573","0.2806875","false","4","615"
"glad-sweep-1012","0.27465625","false","4","405"
"curious-sweep-505","0.26803125","false","4","690"
"magic-sweep-563","0.26603125","false","4","635"
"winter-sweep-932","0.2551875","false","4","578"
"charmed-sweep-347","0.2581875","true","3","56"
"happy-sweep-193","0.2363125","false","4","919"
"resilient-sweep-591","0.23328125","false","4","655"
"pleasant-sweep-315","0.89071875","false","3","214"
"worthy-sweep-298","0.2175","false","4","576"
"stilted-sweep-662","0.22171875","true","3","98"
"sleek-sweep-891","0.21478125","false","4","353"
"graceful-sweep-858","0.19071875","false","4","596"
"sparkling-sweep-309","0.19125","false","4","852"
"legendary-sweep-672","0.205875","true","3","122"
"gallant-sweep-247","0.17671875","true","3","71"
"young-sweep-129","0.17621875","true","3","69"
"dashing-sweep-558","0.1711875","false","4","600"
"olive-sweep-436","0.17115625","true","3","91"
